Date,Time,Exercise,# of Reps,Weight,Notes
4/26/2023,15:32,Pulldown,10,120,
4/26/2023,15:32,Pulldown,8,120,
4/26/2023,15:32,Pulldown,8,120,
4/26/2023,15:32,Pulldown,8,140,
4/26/2023,15:32,Pulldown,6,140,
4/26/2023,15:25,Seated Calf Raise,20,250,
4/26/2023,15:25,Seated Calf Raise,20,250,
4/26/2023,15:25,Seated Calf Raise,25,250,
4/26/2023,15:25,Seated Calf Raise,20,280,
4/26/2023,15:25,Seated Calf Raise,20,280,
4/26/2023,15:25,Seated Calf Raise,20,295,
4/26/2023,15:25,Seated Calf Raise,20,310,
4/26/2023,15:25,Seated Calf Raise,20,310,
4/26/2023,15:25,Seated Calf Raise,18,265,
4/25/2023,15:07,Flyes,15,85,
4/25/2023,15:07,Flyes,15,85,
4/25/2023,15:07,Flyes,12,85,
4/25/2023,15:07,Flyes,8,100,
4/25/2023,14:45,Leg Extension,10,100,
4/25/2023,14:45,Leg Extension,12,100,
4/25/2023,14:45,Leg Extension,15,115,
4/25/2023,14:45,Leg Extension,15,145,
4/25/2023,14:45,Leg Extension,12,160,
4/25/2023,14:45,Leg Extension,10,175,
4/25/2023,14:45,Leg Extension,10,175,
4/25/2023,14:36,Leg Curl,15,100,
4/25/2023,14:36,Leg Curl,15,115,
4/25/2023,14:36,Leg Curl,12,115,
4/25/2023,14:36,Leg Curl,10,145,
4/25/2023,14:36,Leg Curl,8,160,
4/25/2023,14:36,Leg Curl,10,160,
4/25/2023,14:36,Leg Curl,8,175,
4/25/2023,14:36,Leg Curl,6,175,
4/25/2023,14:36,Leg Curl,6,145,
4/25/2023,14:24,Seated Calf Raise,20,235,
4/25/2023,14:24,Seated Calf Raise,22,250,
4/25/2023,14:24,Seated Calf Raise,25,265,
4/25/2023,14:24,Seated Calf Raise,20,280,
4/25/2023,14:24,Seated Calf Raise,20,295,
4/25/2023,14:24,Seated Calf Raise,20,310,
4/25/2023,14:24,Seated Calf Raise,20,325,
4/25/2023,14:24,Seated Calf Raise,18,325,
4/25/2023,14:24,Seated Calf Raise,15,265,
4/25/2023,14:05,Triceps Extension,15,50,
